citation,citation_text,adj,pos_adj,neg_adj
"The Lisbon Council, CWTS, & Esade, 2018","At present, Scopus data are used for bibliometric analysis to inform the EU Open Science Monitor (The Lisbon Council, CWTS, & Esade, 2018).","['present', 'bibliometric', 'open']","(0, [])","(0, [])"
The REF 2014,"The REF 2014 was held by the Higher Education Funding Council for England (HEFCE) and the funding bodies for Scotland, Wales, and Northern Ireland.","['higher', 'northern', 'scotland']","(0, [])","(0, [])"
"Thelwall & Fairclough, 2015","Scopus as a curated, high-quality bibliometric data source on indicators (Thelwall, 2019; Thelwall & Fairclough, 2015), on correlation between citations and Mendeley readership (Maflahi & Thelwall, 2016; Thelwall & Wilson, 2016), on journal usage (Schloegl & Gorraiz, 2010), and studies revisiting bibliometric laws (Thelwall & Wilson, 2014).","['journal', 'curated', 'bibliometric']","(0, [])","(0, [])"
"Thelwall & Kousha, 2017","Scopus data were also used to analyze initiatives in open science, particularly open access (Solomon, Laakso, & Bj rk, 2013), citizen science (Follett & Strezov, 2015) and new tools in the scientific space, such as ResearchGate (Thelwall & Kousha, 2017).","['new', 'scientific', 'such', 'open']","(0, [])","(0, [])"
"Thelwall & Wilson, 2014","Scopus as a curated, high-quality bibliometric data source on indicators (Thelwall, 2019; Thelwall & Fairclough, 2015), on correlation between citations and Mendeley readership (Maflahi & Thelwall, 2016; Thelwall & Wilson, 2016), on journal usage (Schloegl & Gorraiz, 2010), and studies revisiting bibliometric laws (Thelwall & Wilson, 2014).","['journal', 'curated', 'bibliometric']","(0, [])","(0, [])"
"Thelwall & Wilson, 2016","Scopus as a curated, high-quality bibliometric data source on indicators (Thelwall, 2019; Thelwall & Fairclough, 2015), on correlation between citations and Mendeley readership (Maflahi & Thelwall, 2016; Thelwall & Wilson, 2016), on journal usage (Schloegl & Gorraiz, 2010), and studies revisiting bibliometric laws (Thelwall & Wilson, 2014).","['journal', 'curated', 'bibliometric']","(0, [])","(0, [])"
"Thelwall, 2019","Scopus as a curated, high-quality bibliometric data source on indicators (Thelwall, 2019; Thelwall & Fairclough, 2015), on correlation between citations and Mendeley readership (Maflahi & Thelwall, 2016; Thelwall & Wilson, 2016), on journal usage (Schloegl & Gorraiz, 2010), and studies revisiting bibliometric laws (Thelwall & Wilson, 2014).","['journal', 'curated', 'bibliometric']","(0, [])","(0, [])"
"Thelwall, Bailey, Tobin, & Bradshaw, 2019","(Thelwall, Bailey, Tobin, & Bradshaw, 2019).",['thelwall'],"(0, [])","(0, [])"
Until 2014,"Until 2014, Elsevier supported bibliometricians with data using the Elsevier Bibliometric Research Program (EBRP).","['bibliometric', 'elsevier']","(0, [])","(0, [])"
"Van Noorden & Singh Chawla, 2019","In addition, Scopus author profiles have been used to study the recent phenomenon of hyperprolific authorships (Ioannidis, Klavans, & Boyack, 2018) and for an author database of highly cited researchers (Ioannidis, Baas, Klavans, & Boyack, 2019; Van Noorden & Singh Chawla, 2019).","['addition', 'singh', 'noorden', 'hyperprolific', 'recent']","(0, [])","(0, [])"
"Wagner & Jonkers, 2017","For instance, there are studies on mobility, using Scopus unique historic author-affiliation records, such as by Caroline Wagner and Koen Jonkers on international collaboration, mobility, and openness (Wagner & Jonkers, 2017), funding and collaboration (Leydesdorff, Bornmann, & Wagner, 2019), and author (Pina, Barac, Buljan, Grimaldo, & Maru ic, 2019) and institutional (Lee, 2012) collaboration networks.","['institutional', 'such', 'scopus', 'unique', 'international', 'historic']","(0, [])","(0, [])"
and 2013,"The UK department of Business, Innovation and Skills (BIS) commissioned a report that entailed a comparative study of the UK s international research base, in 2011 (Elsevier, 2011) and 2013 (Elsevier, 2013).","['international', 'comparative']","(0, [])","(0, [])"
and 2015,"The first national assessment supported by Scopus was the Excellence in Research for Australia (ERA) of the Australian Research Council (ARC) in 2010, later repeated in 2012 and 2015.","['first', 'australian', 'australia', 'national']","(0, [])","(0, [])"
and 2018,"About 9.9% of the serial titles (i.e., journals and book series) in Scopus are published by Elsevier (this amounts to an article share in Scopus of 17.4% between 2012 and 2018); the other 90.1% of serial titles (and 82.6% of articles, respectively) are produced by an extensive list of global publishers (Figure 1a). More examples of national assessments where Scopus data were used include the 2013 2014 assessment in Portugal held by the FCT ( Funda o para a Ci ncia e a Technologia ), the ASN ( Abilitazione Scientifica Nazionale ) national accreditation rounds (2012 2013, 2016 2018, and 2018 2020), VQR ( Valutazione della Qualit della Ricerca ) national assessment in Italy (2012 2013, 2016 2017), and National University Corporation Evaluation (NUCE) national assessment in Japan held in 2016 2017 and to be held in 2020 by the National Institution for Academic Degrees and Quality Enhancement of Higher Education (NIAD-QE). Scopus as a curated, high-quality bibliometric data source Engineering Indicators (SEI), for the 2016 (National Science Board, 2016) and 2018 (National Science Board, 2018) editions, and will be used in future editions of the SEI reports up to 2022.","['more', 'elsevier', 'niadqe', 'other', 'extensive', 'portugal', 'italy', 'valutazione', 'future', 'global', 'higher', 'national', 'curated', 'academic', 'funda', 'serial']","(0, [])","(0, [])"
base 2011,International comparative performance of the UK research base 2011.,"['comparative', 'international']","(0, [])","(0, [])"
base 2013,International comparative performance of the UK research base 2013.,"['comparative', 'international']","(0, [])","(0, [])"
base 2016,International comparative performance of the UK research base 2016.,"['comparative', 'international']","(0, [])","(0, [])"
beis2016,Retrieved from https://www.elsevier.com/ research-intelligence/research-initiatives/ beis2016 Elsevier.,"['researchintelligenceresearchinitiatives', 'httpswwwelseviercom']","(0, [])","(0, [])"
between 1995,"An important aspect of the Scopus database is the high coverage and availability of first names, even for relatively old records: from 25% of authorships in 1970 1974 and 52% between 1995 1999 to 82% of authorships in 2015 2019 (Figure 1).","['important', 'old', 'first', 'high']","(1, ['important'])","(0, [])"
between 2012,"About 9.9% of the serial titles (i.e., journals and book series) in Scopus are published by Elsevier (this amounts to an article share in Scopus of 17.4% between 2012 and 2018); the other 90.1% of serial titles (and 82.6% of articles, respectively) are produced by an extensive list of global publishers (Figure 1a).","['elsevier', 'other', 'extensive', 'global', 'serial']","(0, [])","(0, [])"
"el Aisati, Meester, Steiginga, & Ross, 2017","SCOPUS AS A BIBLIOMETRIC DATA SOURCE In 2004, Elsevier launched Scopus as a new search and discovery tool (Schotten, el Aisati, Meester, Steiginga, & Ross, 2017).","['new', 'bibliometric']","(0, [])","(0, [])"
"ic, 2019","For instance, there are studies on mobility, using Scopus unique historic author-affiliation records, such as by Caroline Wagner and Koen Jonkers on international collaboration, mobility, and openness (Wagner & Jonkers, 2017), funding and collaboration (Leydesdorff, Bornmann, & Wagner, 2019), and author (Pina, Barac, Buljan, Grimaldo, & Maru ic, 2019) and institutional (Lee, 2012) collaboration networks.","['institutional', 'such', 'scopus', 'unique', 'international', 'historic']","(0, [])","(0, [])"
in 1970,"An important aspect of the Scopus database is the high coverage and availability of first names, even for relatively old records: from 25% of authorships in 1970 1974 and 52% between 1995 1999 to 82% of authorships in 2015 2019 (Figure 1).","['important', 'old', 'first', 'high']","(1, ['important'])","(0, [])"
in 2004,"SUPPORT FOR LARGE-SCALE ANALYSES Since its official launch in 2004, Scopus has been used globally in many large-scale analyses.","['largescale', 'official', 'many']","(0, [])","(0, [])"
in 2010,"The first national assessment supported by Scopus was the Excellence in Research for Australia (ERA) of the Australian Research Council (ARC) in 2010, later repeated in 2012 and 2015.","['first', 'australian', 'australia', 'national']","(0, [])","(0, [])"
in 2011,"The UK department of Business, Innovation and Skills (BIS) commissioned a report that entailed a comparative study of the UK s international research base, in 2011 (Elsevier, 2011) and 2013 (Elsevier, 2013).","['international', 'comparative']","(0, [])","(0, [])"
in 2012,"ORCID is managed by a non-profit organization with the same name established in 2012. The first national assessment supported by Scopus was the Excellence in Research for Australia (ERA) of the Australian Research Council (ARC) in 2010, later repeated in 2012 and 2015.","['nonprofit', 'national', 'same', 'australia', 'australian', 'first']","(0, [])","(0, [])"
in 2015,"An important aspect of the Scopus database is the high coverage and availability of first names, even for relatively old records: from 25% of authorships in 1970 1974 and 52% between 1995 1999 to 82% of authorships in 2015 2019 (Figure 1).","['important', 'old', 'first', 'high']","(1, ['important'])","(0, [])"
in 2016,"More examples of national assessments where Scopus data were used include the 2013 2014 assessment in Portugal held by the FCT ( Funda o para a Ci ncia e a Technologia ), the ASN ( Abilitazione Scientifica Nazionale ) national accreditation rounds (2012 2013, 2016 2018, and 2018 2020), VQR ( Valutazione della Qualit della Ricerca ) national assessment in Italy (2012 2013, 2016 2017), and National University Corporation Evaluation (NUCE) national assessment in Japan held in 2016 2017 and to be held in 2020 by the National Institution for Academic Degrees and Quality Enhancement of Higher Education (NIAD-QE).","['italy', 'portugal', 'valutazione', 'higher', 'national', 'academic', 'funda']","(0, [])","(0, [])"
in 2020,"More examples of national assessments where Scopus data were used include the 2013 2014 assessment in Portugal held by the FCT ( Funda o para a Ci ncia e a Technologia ), the ASN ( Abilitazione Scientifica Nazionale ) national accreditation rounds (2012 2013, 2016 2018, and 2018 2020), VQR ( Valutazione della Qualit della Ricerca ) national assessment in Italy (2012 2013, 2016 2017), and National University Corporation Evaluation (NUCE) national assessment in Japan held in 2016 2017 and to be held in 2020 by the National Institution for Academic Degrees and Quality Enhancement of Higher Education (NIAD-QE).","['italy', 'portugal', 'valutazione', 'higher', 'national', 'academic', 'funda']","(0, [])","(0, [])"
in December 2018,"For instance, under this program, digital object identifier (DOI) completion rates went up from 87.8% at the start of the program to 99.8% in December 2018.","['doi', 'program', 'digital']","(0, [])","(0, [])"
"index, July 2019","All above efforts combined have led to approximately 1.8 million Scopus author profiles that have been manually enhanced (Scopus index, July 2019).",[],"(0, [])","(0, [])"
